epoch:0, mean IoU: 0.005349408134162150618
epoch:1, mean IoU: 0.0015317012198582850654
epoch:2, mean IoU: 0.02457098077521282725
epoch:3, mean IoU: 0.07953396226914792778
epoch:4, mean IoU: 0.1107707738644888733
epoch:5, mean IoU: 0.10092777141544526241
epoch:6, mean IoU: 0.121294714895066100016
epoch:7, mean IoU: 0.22993068309955623525
epoch:8, mean IoU: 0.24988499796767402617
epoch:9, mean IoU: 0.26544454258895187378
epoch:10, mean IoU: 0.36118787825774293143
epoch:11, mean IoU: 0.36993468609529090468
epoch:12, mean IoU: 0.40550787019875328938
epoch:13, mean IoU: 0.42203638639474500005
epoch:14, mean IoU: 0.35041436779005103965
epoch:15, mean IoU: 0.36089076990092529873
epoch:16, mean IoU: 0.405584482144045914
epoch:17, mean IoU: 0.46182721680406253121
epoch:18, mean IoU: 0.37912295726069619695
epoch:19, mean IoU: 0.37995649762355246357
epoch:20, mean IoU: 0.47730262974556086713
epoch:21, mean IoU: 0.4992253323896889785
epoch:22, mean IoU: 0.46658549018161091736
epoch:23, mean IoU: 0.32184244301557277812
epoch:24, mean IoU: 0.45833047480736355297
epoch:25, mean IoU: 0.5277692397383472312
epoch:26, mean IoU: 0.40994709737164206805
epoch:27, mean IoU: 0.17794738706626278644
epoch:28, mean IoU: 0.4971647016749250974
epoch:29, mean IoU: 0.49851381620909972995
epoch:30, mean IoU: 0.5463920036157956279
epoch:31, mean IoU: 0.5464342876818337348
epoch:32, mean IoU: 0.5127667214693202399
epoch:33, mean IoU: 0.5340122849353803092
epoch:34, mean IoU: 0.5324936979160194468
epoch:35, mean IoU: 0.5457284274574091459
epoch:36, mean IoU: 0.5330672014156920026
epoch:37, mean IoU: 0.5040431077541328782
epoch:38, mean IoU: 0.5184282052726688078
